"mediaID","title","description","categoryID","tags","filename"
"186","שאלון 804 - אינטגרלים - שיעור 6 תרגיל 1","[B]שיעור 6 תרגיל 1 : [/B]פונקציית שורש שלילית, משוואת משיק, אנכים, חיתוכים עם הצירים, חישוב יחס שטחים .","10","אנכים,חישוב יחס שטחים .,חיתוכים עם הצירים,משוואת משיק,פונקציית שורש שלילית","804_integrals_4_units_class_6_exercise_1.mp4"
"3","גיאומטריה אנליטית שאלון 804 - תרגילי בגרות 1 ו 2","[B]שיעור 1 - תרגיל 1 :[/B] משולש ישר זווית(ישרים ניצבים), ישר המקביל לציר X , חישוב שטח משולש, מציאת משוואת משיק למעגל . שימוש בחיתוך בין ישרים, סימון נקודות בעזרת משתנה עזר ונוסחת דיסדנס .

[B]שיעור 1 - תרגיל 2 :[/B] משולש שווה שוקיים, מציאת קודקודיו תוך שימוש בסימון נקודות בעזרת משתנה עזר, השוואת שיפועים, חיתוך בין ישרים, בניית מעגל על אחת הצלעות של המשולש ומציאת המשוואה שלו .","5","ישר,ישרים ניצבים,משוואת משיק,משולש ישר זווית,משולש שווה שוקיים,שטח משולש","804_analitit_4_units_class_1_exercise_1_2.mp4"
"4","שאלון 804 ו 803 - גיאומטריה אנליטית שיעור הקדמה","קו ישר - משוואת הישר, שיפוע, נקודות חיתוך, ישר המקביל לציר X \ Y . אמצע קטע , מרחק בין שתי נקודות, ישרים ניצבים \ מקבילים. רביעים, מעגל, משוואת המעגל, מעגל קנוני.","38","ישרים ניצבים,מעגל,מעגל קנוני.,מקבילים. רביעים,מרחק בין שתי נקודות,משוואת המעגל,נקודות חיתוך. אמצע קטע,קו ישר - משוואת הישר,שיפוע","804_analitit_4_units_class_0.mp4"
"5","שאלון 804 - גיאומטריה אנליטית תרגילי בגרות 3 ו 4","[B]שיעור 2 - תרגיל 1 :[/B] נתון מעויין, צריך למצוא את משוואת האלכסון, אורך האלכסון האחר ומשוואת ישר, שימוש בתכונות המעויין, מציאת משוואת ישר בעזרת שיפוע ונקודה , אמצע קטע ונוסחת דיסדנס .

[B]שיעור 2 - תרגיל 2 : [/B]מעגל לא קנוני במערכת צירים ובו מיתר שדרכו בונים משולש. ישרים המקבילים לציר Y וציר X. שימוש בתכונות המעגל, שיפוע ישר, מציאת משוואת המעגל ובדיקת חיתוך המעגל עם הצירים וחישוב שטח משולש.","5","מעויין,שימוש בתכונות המעויין,שיפוע ישר","804_analitit_4_units_class_2_exercise_1_2.mp4"
"6","שאלון 804 - גיאומטריה אנליטית תרגילי בגרות 5 ו 6","[B]שיעור 3 - תרגיל 1:[/B] ריבוע חסום במעגל, מציאת משוואת ישר ונקודות תוך שימוש בכלל הניצבות וחיתוך בין ישרים, משוואת מעגל לא קנוני, נוסחת דיסדנס ומציאת המעגל החסום בריבוע .

[B]שיעור 3 - תרגיל 2 : [/B]מעגל קנוני ולו משיק, מציאת משוואת המעגל ומשוואת משיק תוך שימוש בנוסחת דיסדנס, נוסחת פיתגורס, סימון נקודות בעזרת משתנה עזר ומציאת הנקודות הנדרשות בעזרת הנתונים .","5","משוואת מעגל לא קנוני,נוסחת פיתגורס,ריבוע חסום במעגל","804_analitit_4_units_class_3_exercise_1_2.mp4"
"7","שאלון 804- גיאומטריה אנליטית תרגילי בגרות 11 12 ו 13","[B]שיעור 6 - תרגיל 1 :[/B] משולש ובו אנך אמצעי ותיכון, חיתוך בין ישרים, כלל הניצבות ואמצע קטע

[B]שיעור 6 - תרגיל 2: [/B]שרטוט מעגל שמרכזו על ציר X על פי המשוואה שלו, שימוש בשטח משולש, רדיוס ומשיק וכלל הניצבות, משוואת משיק למעגל.

[B]שיעור 6 - תרגיל 3:[/B] מעגל לא קנוני המשיק לציר X, משוואת משיק למעגל, ההשלכות בנוגע למרכז המעגל, חיתוך המעגל עם הצירים, מרחק בין נקודות ומציאת שטח משולש .","5","טרפז היוצר משולשים,שטח משולש","804_analitit_4_units_class_6_exercise_1_2_3.mp4"
"8","שאלון 804 - גיאומטריה אנליטית תרגילי בגרות 14 ו 15","[B]שיעור 7 - תרגיל 1 :[/B] גבהים במשולש, חישוב שיפוע על פי שתי נקודות, חיתוך בין ישרים שימוש בנוסחת דיסדנס, ומציאת משוואת ישר על פי שיפוע ונקודה .

[B]שיעור 7 - תרגיל 2:[/B] מעגל העובר בראשית הצירים, משוואת ישר על פי נקודה ושיפוע ושימוש בכלל הניצבות .","5","גבהים במשולש","804_analitit_4_units_class_7_exercise_1_2.mp4"
"9","שאלון 804 - גיאומטריה אנליטית תרגילי בגרות 16 ו 17","[B]שיעור 8 - תרגיל 1: [/B]מעגל עם פרמטר העובר בראשית הצירים, מרחק בין שני מעגלים, חיתוך מעגל עם הצירים .

[B]שיעור 8 - תרגיל 2:[/B] משוואת ישרים במשולש על פי שיפוע ונקודה תוך שימוש בכלל הניצבות, חיתוך בין ישרים, מפגש האנכים במשולש .","5","חיתוך בין ישרים,מפגש האנכים במשולש .,מרחק בין שני מעגלים","804_analitit_4_units_class_8_exercise_1_2.mp4"
"10","שאלון 804 - גיאומטריה אנליטית תרגילי בגרות 7 ו 8","[B]שיעור 4 - תרגיל 1: [/B]שני ישרים החותכים זה את זה, כאשר על קטע שהישרים יוצרים עם ציר Y בונים מעגל, שטח משולש, כלל הניצבות ומשוואת המעגל החוסם את המשולש .

[B]שיעור 4 - תרגיל 2:[/B] שני ישרים מקבילים, טרפז היוצר משולשים, מציאת שטחי המשולשים בעזרת פרמטרים, שימוש בנתון בסעיף האחרון למציאת הפרמטרים .","5","טרפז היוצר משולשים,שטח משולש","804_analitit_4_units_class_4_exercise_1_2.mp4"
"11","שאלון 804 - גיאומטריה אנליטית תרגילי בגרות 9 ו 10","[B]שיעור 5 - תרגיל 1: [/B]תכונות המעוין, כלל הניצבות, מציאת משוואת ישר על פי נקודוה ושיפוע, חיתוך ישרים ואמצע קטע .
 
[B]שיעור 5 - תרגיל 2 :[/B] מעגל לא קנוני ומשיק, מציאת שיפוע, כלל הניצבות, חישוב שטח משולש, משוואת ישר על פי נקודה ושיפוע .","5","חישוב שטח משולש,כלל הניצבות,מציאת שיפוע,תכונות המעוין","804_analitit_4_units_class_5_exercise_1_2.mp4"
"12","שאלון 804 - גיאומטריה אנליטית תרגילי בגרות 18 ו 19","[B]שיעור 9 - תרגיל 1:[/B] חיתוך בין ישרים, חיתוך עם הצירים, מעגל קנוני במערכת הצירים, משוואת המעגל הלא קנוני, שימוש בנוסחת מרחק בין שתי נקודות, נוסחת אמצע קטע, שיפוע בין 2 נקודות וישרים מקבילים לציר X .

[B]שיעור 9 - תרגיל 2:[/B] מקבילית ומלבן, שימוש בתכונות שלהם, חיתוך בין ישרים, אמצע קטע, משוואת ישר על פי נקודה ושיפוע, חישוב שטח מלבן תוך שימוש בנוסחת הדיסדנס .","5","אמצע קטע,חיתוך בין ישרים,חיתוך עם הצירים,מעגל קנוני במערכת הצירים,משוואת המעגל הלא קנוני,נוסחת אמצע קטע,שימוש בתכונות שלהם","804_analitit_4_units_class_9_exercise_1_2.mp4"
"13","שאלון 804 - גיאומטריה אנליטית תרגילי בגרות 20 ו 21","[B]שיעור 10 - תרגיל 1:[/B] מעגל המשיק לציר Y , חיתוך המעגל עם הצירים, חיתוך בין ישר לבין מעגל, משוואת מעגל המשיק לציר X  וגם לציר Y . 

[B]שיעור 10 - תרגיל 2:[/B] משולש שווה שוקיים ובו חוצה זווית, חיתוך בין ישרים, כלל הניצבות, מרחק בין שתי נקודות ומציאת משוואת מעגל החוסם את  המשולש .","5","חיתוך בין ישר לבין מעגל,חיתוך בין ישרים,חיתוך המעגל עם הצירים,כלל הניצבות,מעגל המשיק לציר y","804_analitit_4_units_class_10_exercise_1_2.mp4"
"14","שאלון 804 - בעיות קיצון תרגיל בגרות 1","[B]שיעור 1 תרגיל 1: [/B] מציאת מינימום לאורך קטע המחבר בין שני פונקציות ומקביל לציר ה Y , שיפוע המשיק ומשמעות המשיק .","6",,"804_bayotKitzon_4_units_class_1_exercise_1.mp4"
"15","שאלון 804 - בעיות קיצון תרגיל בגרות 2","[B]שיעור 1 תרגיל 2:[/B] בניית מלבן על פונקציה ומציאת שטח מינימלי של המלבן על ידי מציאת נקודות קיצון של פונקצייה חדשה שבנינו .","6",,"804_bayotKitzon_4_units_class_1_exercise_2.mp4"
"16","שאלון 804 - בעיות קיצון תרגיל בגרות 3","[B]שיעור 1 תרגיל 3:[/B] בניית מלבן על פונקציית מנה, מציאת מינימום להיקף המלבן, את הנקודה המתאימה למלבן מינימלי על הפונקציה ואת שטחו .","6","מציאת מינימום להיקף המלבן","804_bayotKitzon_4_units_class_1_exercise_3.mp4"
"17","שאלון 804 - בעיות קיצון תרגיל בגרות 4","שיעור 2 תרגיל 1: טרפז על פונקציה  פרבולית, מציאת מקסימום לשטח הטרפז, מציאת שטחו והיקפו של הטרפז, בנוסף מציאת מינימום לאורך קטע מהראשית לגרף הפונקציה .","6","טרפז על פונקציה  פרבולית,מציאת מקסימום לשטח הטרפז","804_bayotKitzon_4_units_class_2_exercise_1.mp4"
"18","שאלון 804 - בעיות קיצון תרגיל בגרות 5","[B]שיעור 2 תרגיל 2:[/B] מלבן ובו קטעים מנקודה כלשהי, מציאת סכום ריבועים של קטעים מינימלי, מציאת היקף המלבן עבור מקרה זה.","6",,"804_bayotKitzon_4_units_class_2_exercise_2.mp4"
"19","שאלון 804 - בעיות קיצון תרגיל בגרות 6","[B]שיעור 2 תרגיל 3:[/B] פונקציית פרבולה וישר, ביניהם נוצר מלבן, מציאת מקסימום למלבן, סימון נקודות על הפונקציה עם משתנה עזר .","6","ביניהם נוצר מלבן,מציאת מקסימום למלבן,פונקציית פרבולה וישר","804_bayotKitzon_4_units_class_2_exercise_3.mp4"
"20","שאלון 804 - בעיות קיצון תרגיל בגרות 7","[B]שיעור 3 תרגיל 1:[/B] נתון מלבן על ישר, אורך הצלע על מנת לקבל שטח משולש מקסימלי, סימון נקודות בעזרת משתנה עזר ובניית פונקצייה מתאימה על מנת למצוא קיצון .","6","נתון מלבן על ישר","804_bayotKitzon_4_units_class_3_exercise_1.mp4"
"21","שאלון 804 - בעיות קיצון תרגיל בגרות 8","[B]שיעור 3 תרגיל 2: [/B] מלבן הנוצר בין ענפי פונקציה 1/x , מציאת נקודה על מנת ששטח המלבן יהיה מינימלי, שימוש במשתנה עזר לסימון נקודות ובניית הפונקציה המתאימה .","6",,"804_bayotKitzon_4_units_class_3_exercise_2.mp4"
"22","שאלון 804 - בעיות קיצון תרגיל בגרות 9","[B]שיעור 3 תרגיל 3: [/B] קיצון של משולש על מלבן, שימוש במשפט תלס, בניית פונקצייה מתאימה ושימוש בנגזרת השנייה למציאת סוג קיצון .","6","קיצון של משולש על מלבן,שימוש במשפט תלס","804_bayotKitzon_4_units_class_3_exercise_3.mp4"
"23","שאלון 804 - בעיות קיצון תרגיל בגרות 10","[B]שיעור 4 תרגיל 1: [/B] פרבולה דרכה עובר ישר וביניהם בנו מלבן שצלעותיו מקבילות לצירים, סימון נקודות בעזרת משתנה עזר ובניית פונקציה מתאימה לשטח המלבן ומציאת קיצון .","6",,"804_bayotKitzon_4_units_class_4_exercise_1.mp4"
"24","שאלון 804 - בעיות קיצון תרגיל בגרות 11","[B]שיעור 4 תרגיל 2:[/B] משיק לפונקציה היוצר קטעים עם הצירים, מציאת ערכי נקודת ההשקה לקבלת מינימום של הקטעים ( תוך מציאת משוואת המשיק), חישוב השטח המשולש המתאים .","6",,"804_bayotKitzon_4_units_class_4_exercise_2.mp4"
"25","שאלון 804 - בעיות קיצון תרגיל בגרות 12","[B]שיעור 4 תרגיל 3:[/B] שתי פונקציות שורש וביניהם מחברים קטע המקביל לציר Y  לו מחפשים מינימום, מציאת שטח משולש מתאים .","6","מציאת שטח משולש מתאים .","804_bayotKitzon_4_units_class_4_exercise_3.mp4"
"26","שאלון 804 - בעיות קיצון תרגיל בגרות 13","[B]שיעור 5 תרגיל 1:[/B] משולש ישר זווית ובו בונים משולש נוסף, דרישת מקסימום למשולש זה, הגדרה משתנים ושימוש במשפט פיתגורס .","6","דרישת מקסימום למשולש זה","804_bayotKitzon_4_units_class_5_exercise_1.mp4"
"27","שאלון 804 - בעיות קיצון תרגיל בגרות 14","[B]שיעור 5 תרגיל 2:[/B] מלבן החסום בחצי מעגל, מציאת אורך של צלע על מנת ששטח המלבן \ המעגל יהיו מקסימלים, הגדרת פונקציה מתאימות וגזירתן למציאת מקסימום .","6","מלבן החסום בחצי מעגל","804_bayotKitzon_4_units_class_5_exercise_2.mp4"
"28","שאלון 804 - בעיות קיצון תרגיל בגרות 15","[B]שיעור 5 תרגיל 3: [/B] נתונה פונקציה ונקודה על הישר, יש למצוא את המרחק המינימלי בין הנקודה לפונקציה וסכום השיעורים מינימלים.","6",,"804_bayotKitzon_4_units_class_5_exercise_3.mp4"
"29","שאלון 804 - בעיות קיצון תרגיל בגרות 16","[B]שיעור 6 תרגיל 1: [/B] שתי רכבות נוסעות בדרכים שונות, לאחר כמה שעות המרחק ביניהם יהיה מינימלי ומהו המרחק? הגדרת פונקצייה מתאימה וגזירתה למציאת מינימום .","6",,"804_bayotKitzon_4_units_class_6_exercise_1.mp4"
"30","שאלון 804 - בעיות קיצון תרגיל בגרות 17","[B]שיעור 6 תרגיל 2:[/B] בניית חבית כךך שהעלות תיהיה מינימלית, הגדרת משתנים ובניית פונקציה מתאימה.","6",,"804_bayotKitzon_4_units_class_6_exercise_2.mp4"
"31","שאלון 804 - בעיות קיצון תרגיל בגרות 18","[B]שיעור 6 תרגיל 3:[/B] בעיות כלכליות, ייצור חלון מלבני מחומר מסוים, מציאת פרמטר על ידי נתון - מה קורה במינימום של צלעות החלון .","6","בעיות כלכליות","804_bayotKitzon_4_units_class_6_exercise_3.mp4"
"32","שאלון 804 - בעיות קיצון תרגיל בגרות 19","[B]שיעור 7 תרגיל 1:[/B] מנסרה ישרה שבסיסה משולש שווה צלעות, דרישה ששטח פני המנסרה יהיה מינימלי, הגדרת משתנים ובניית פונקציה מתאימה ( יש טעות בסוף במשוואה, צריך להיות 1500 )","6","צריך להיות 1500 )","804_bayotKitzon_4_units_class_7_exercise_1.mp4"
"33","שאלון 804 - בעיות קיצון תרגיל בגרות 20","[B]שיעור 7 תרגיל 2:[/B] בעיות כלכליות, מכירת מכשירי חשמל כך שנגיע לרווח מקסימלי .","6","בעיות כלכליות","804_bayotKitzon_4_units_class_7_exercise_2.mp4"
"34","שאלון 804 - בעיות קיצון תרגיל בגרות 21","[B]שיעור 7 תרגיל 3: [/B] מפעל מציע לוועד מורים מכשירי חשמל, מחיר יחידה, מחיר סה""כ, שינוי המחיר כתוצאה משינוי הכמות, חישוב להגעה למכירה מקסימלית .","6","מחיר יחידה,מחיר סהכ","804_bayotKitzon_4_units_class_7_exercise_3.mp4"
"35","שאלון 804 - בעיות מילוליות - תנועה שיעור 12 תרגיל 3","[B]שיעור 12 תרגיל 3: [/B] מכונית א' ומכונית ב' יוצאות מאותה נקודה לכיוונים שונים, שימוש בפיתגורס וסימון נעלמים, בניית משוואות בעזרת טבלה .","7",,"804_bayotMiloliyot_tnoa_mechira_4_units_class_12_exercise_3.mp4"
"36","שאלון 804 - בעיות מילוליות - תנועה שיעור 12 תרגיל 2","[B]שיעור 12 תרגיל 2:[/B] שני רכבים יוצאים זה לקראת זה במהירויות שונות וחזרה במהירויות אחרות, שימוש בנעלמים ובניית משוואות מתאימות בעזרת טבלה.","7",,"804_bayotMiloliyot_tnoa_mechira_4_units_class_12_exercise_2.mp4"
"49","שאלון 804 - בעיות מילוליות - גיאומטריות שיעור 8 תרגיל 1","[B]שיעור 8 תרגיל 1:[/B] בעיות מילוליות גיאומטריות, תלמיד רוצה לצבוע את חדרו כאשר החדר הוא למעשה תיבה, אלכסון התיבה ומשפט פיתגורס המורחב .","7","בעיות מילוליות גיאומטריות","804_bayotMiloliyot_geometry_4_units_class_8_exercise_1.mp4"
"38","שאלון 804 - בעיות מילוליות - תנועה שיעור 12 תרגיל 1","שיעור 12 תרגיל 1: אוטובוס ומכונית יוצאים בו זמנית אחד לקראת השני במהירויות שונות, עצירה ושינוי מהירות, שימוש בנעלמים וטבלה ובניית משוואות .","7","עצירה ושינוי מהירות","804_bayotMiloliyot_tnoa_mechira_4_units_class_12_exercise_1.mp4"
"39","שאלון 804 - בעיות מילוליות - תנועה שיעור 11 תרגיל 3","שיעור 11 תרגיל 3: רוכב אופניים ועגלה נוסעים לכיוונים שונים, שימוש במשפט פיתגורס וענלמים, בניית טבלה ומשוואות נכונות .","7",,"804_bayotMiloliyot_tnoa_mechira_4_units_class_11_exercise_3.mp4"
"40","שאלון 804 - בעיות מילוליות - תנועה שיעור 11 תרגיל 2","[B]שיעור 11 תרגיל 2: [/B] מרחק בין שלושה ערים, שינוי המהירות במהלך הדרך באחוזים, שימוש בנעלמים וטבלה, בניית משוואות והמרה מדקות לשעות .","7","מרחק בין שלושה ערים,שימוש בנעלמים וטבלה","804_bayotMiloliyot_tnoa_mechira_4_units_class_11_exercise_2.mp4"
"41","שאלון 804 - בעיות מילוליות - תנועה שיעור 11 תרגיל 1","שיעור 11 תרגיל 1 : מכונית נוסעת מידי יום עם עצירה ושינוי במהירות, המרה ממטר לשניה לקמ""ש ומדקות לשעות, שימוש בנעלמים ובניית משוואות מתאימות ('זמן מתכונן').","7",,"804_bayotMiloliyot_tnoa_mechira_4_units_class_11_exercise_1.mp4"
"42","שאלון 804 - בעיות מילוליות - תנועה שיעור 10 תרגיל 3","[B]שיעור 10 תרגיל 3: [/B] מרחק בין A ל B 340 ק""מ,מכונית יוצאת מA ואחרת יוצאת מ B, מציאת נקודת המפגש בין המכוניות עם עצירה, השוואת דרכים תוך שימוש בנעלמים וטבלה .","7","מרחק בין a ל b 340 קמ","804_bayotMiloliyot_tnoa_mechira_4_units_class_10_exercise_3.mp4"
"43","שאלון 804 - בעיות מילוליות - תנועה שיעור 10 תרגיל 2","[B]שיעור 10 תרגיל 2:[/B] תייר נסע מת""א לקיבוץ, נסיעה במהירויות שונות לאורך הדרך עם עצירה, שימוש בנעלמים וטבלה, בניית משוואות מתאימות, המטרה ממטר לשניה לקמ""ש ומדקות לשעות .","7","בניית משוואות מתאימות,שימוש בנעלמים וטבלה,תייר נסע מתא לקיבוץ","804_bayotMiloliyot_tnoa_mechira_4_units_class_10_exercise_2.mp4"
"44","שאלון 804 - בעיות מילוליות - תנועה שיעור 10 תרגיל 1","[B]שיעור 10 תרגיל 1:[/B] מכונית נוסעת דרך של 300 ק""מ במהירויות שונות, חישוב מהירות בכל קטע ואחוזים, שימוש בטבלה ונעלמים, בניית משוואות מתאימות .","7","בניית משוואות מתאימות .,שימוש בטבלה ונעלמים","804_bayotMiloliyot_tnoa_mechira_4_units_class_10_exercise_1.mp4"
"45","שאלון 804 - בעיות מילוליות - תנועה שיעור 9 תרגיל 3","שיעור 9 תרגיל 3: רוכב אופניים נוסע לאורך דרך במהירויות שונות, המרת דקות לשעות, שימוש בנעלמים וטבלה, בנייתי משוואות מתאימות, מהירות ממוצעת .","7","בנייתי משוואות מתאימות,המרת דקות לשעות,מהירות ממוצעת .,שימוש בנעלמים וטבלה","804_bayotMiloliyot_tnoa_mechira_4_units_class_9_exercise_3.mp4"
"46","שאלון 804 - בעיות מילוליות - תנועה שיעור 9 תרגיל 2","שיעור 9 תרגיל 2: משאית נוסעת מ A ל B וחוזרת בדרך אחרת, חישוב זמן נסיעה תוך שימוש בנעלמים ונתוני הבעייה, בניית משוואות מתאימות לפתרון הבעיה, המרה מדקות לשעות .","7","המרה מדקות לשעות .","804_bayotMiloliyot_tnoa_mechira_4_units_class_9_exercise_2.mp4"
"47","שאלון 804 - בעיות מילוליות - תנועה שיעור 9 תרגיל 1","[B]שיעור 9 תרגיל 1:[/B] בעיות תנועה, רוכב א' נוסע מ A ל B ורוכב אחר יוצא שעה אחריו, שימוש בנעלמים וטבלת SVT לפתרון, בניית המשוואות הנכונות למציאת הנעלמים .","7","בעיות תנועה","804_bayotMiloliyot_tnoa_mechira_4_units_class_9_exercise_1.mp4"
"48","שאלון 804 - בעיות מילוליות - גיאומטריות שיעור 8 תרגיל 2","[B]שיעור 8 תרגיל 2:[/B] מהנדס מתכנן דלת כניסה למוזיאון, מלבן ועליו חצי מעגל, היקף המעגל, שימוש בנעלמים ובניית משוואות .","7","היקף המעגל,מלבן ועליו חצי מעגל","804_bayotMiloliyot_geometry_4_units_class_8_exercise_2.mp4"
"50","שאלון 804 - בעיות מילוליות - גיאומטריות שיעור 7 תרגיל 3","[B]שיעור 7 תרגיל 3[/B] : בעיות מילוליות גיאומטריות, גנן מתכנן גינה בצורת ריבוע ובו חסום ריבוע נוסף, עלות למטר מרובע, אחוזים ומחיר לאחר הוזלה, שילוב של בעיות קנייה ומכירה .","7","אחוזים ומחיר לאחר הוזלה,בעיות מילוליות גיאומטריות,עלות למטר מרובע","804_bayotMiloliyot_geometry_4_units_class_7_exercise_3.mp4"
